iter	MAE
0	1.064135818
1	1.04848024
2	1.033074054
3	1.01673818
4	1.000961991
5	0.987617445
6	0.9757657892
7	0.962999347
8	0.9516309185
9	0.9398720435
10	0.931204218
11	0.9219739786
12	0.9136188397
13	0.90582233
14	0.8984624406
15	0.8923779749
16	0.8864284711
17	0.8811399417
18	0.8759793429
19	0.8711187556
20	0.8664860425
21	0.8620251073
22	0.8576251615
23	0.8536345278
24	0.8499678507
25	0.8463147726
26	0.843281879
27	0.8407308
28	0.8380190925
29	0.8354129584
30	0.8330264814
31	0.8310937283
32	0.829144623
33	0.8274117585
34	0.8257150251
35	0.8241192546
36	0.8224943629
37	0.8210912271
38	0.819788648
39	0.8184217741
40	0.8171868014
41	0.8159621679
42	0.8147048391
43	0.8137211287
44	0.8126353717
45	0.8116939801
46	0.8108511476
47	0.8099810638
48	0.8090214339
49	0.8082886305
50	0.8074416302
51	0.8067320359
52	0.8059196526
53	0.8052474704
54	0.8046563704
55	0.8040518317
56	0.803526931
57	0.8028971436
58	0.8024705891
59	0.801958957
60	0.8015288873
61	0.8009160219
62	0.8003991569
63	0.8000017135
64	0.7995255118
65	0.7991560808
66	0.7988382457
67	0.7985773888
68	0.7981301932
69	0.7977906567
70	0.7974810716
71	0.7971328826
72	0.7968435568
73	0.7965604477
74	0.7962319831
75	0.7958907987
76	0.7956255707
77	0.7953327793
78	0.7950613919
79	0.7948408976
80	0.7945977
81	0.7943313138
82	0.7939817381
83	0.7938078295
84	0.7935588197
85	0.7931204933
86	0.7928556317
87	0.7925530409
88	0.7923142129
89	0.7919766746
90	0.7917808518
91	0.7915549902
92	0.7912372434
93	0.7909218456
94	0.7907363676
95	0.7904387101
96	0.7901387495
97	0.7899151579
98	0.7895886768
99	0.7892967362
100	0.7889672343
101	0.7887364438
102	0.7884169902
103	0.7880336507
104	0.7878468499
105	0.7874077392
106	0.7871633603
107	0.7868055765
108	0.786400447
109	0.7861339873
110	0.7858045158
111	0.7856055834
112	0.7852956256
113	0.7851084025
114	0.7849417266
115	0.7848238076
116	0.7846880897
117	0.784480075
118	0.7842366804
119	0.7839588282
120	0.783838904
121	0.7836160719
122	0.7835005602
123	0.7831062185
124	0.7829172616
125	0.7826861222
126	0.7825420039
127	0.7822907227
128	0.7821305056
129	0.7819363261
130	0.7818039956
131	0.7816873989
132	0.7814934573
133	0.7812466345
134	0.7810133375
135	0.7808722939
136	0.7806851675
137	0.7805385809
138	0.7804048752
139	0.7803144432
140	0.7800854777
141	0.7799262854
142	0.7795732695
143	0.7794497754
144	0.779376196
145	0.7792085792
146	0.7790016881
147	0.7789211073
148	0.7788257454
149	0.7785743621
150	0.7784937634
151	0.7783554781
152	0.7781608611
153	0.7780714608
154	0.7779989034
155	0.7776876035
156	0.7773955236
157	0.7772060374
158	0.7770498397
159	0.7769596893
160	0.7767487947
161	0.7765403093
162	0.7764368383
163	0.7762958219
164	0.7760423726
165	0.7758670073
166	0.7756970798
167	0.7754513299
168	0.7750907835
169	0.7750300898
170	0.7748518433
171	0.7745938811
172	0.7743346395
173	0.7742233206
174	0.7741087641
175	0.7739307437
176	0.773843439
177	0.7736932503
178	0.7734547047
179	0.7733347747
180	0.773181753
181	0.7730163511
182	0.7727991515
183	0.7725592725
184	0.7724926721
185	0.7723002515
186	0.7721238007
187	0.7719633674
188	0.771793123
189	0.7716550697
190	0.7714184284
191	0.7711916271
192	0.7710446478
193	0.7708737308
194	0.7707022945
195	0.7705223479
196	0.7704580093
197	0.7702283202
198	0.7701073656
199	0.7699864828
200	0.7698284658
201	0.7697260979
202	0.7694743505
203	0.7693097182
204	0.7691492311
205	0.7689484176
206	0.7688528449
207	0.7686868949
208	0.7685264194
209	0.7682244514
210	0.7681014558
211	0.7680144613
212	0.7678753411
213	0.7677970292
214	0.7676787128
215	0.7675352165
216	0.7674240007
217	0.7672915039
218	0.766994464
219	0.7668678788
220	0.7667794847
221	0.7666953755
222	0.7666242347
223	0.7664142076
224	0.766243387
225	0.7661459219
226	0.7659234896
227	0.765798148
228	0.7656404169
229	0.7653985496
230	0.7653227375
231	0.765267836
232	0.7650955533
233	0.7649284921
234	0.7647742561
235	0.7646327713
236	0.764495088
237	0.7642968171
238	0.7641072478
239	0.763895558
240	0.7638162134
241	0.7637087226
242	0.763530644
243	0.7634018718
244	0.7632573136
245	0.7631394527
246	0.7630743979
247	0.7629896171
248	0.7628990167
249	0.7628593984
250	0.7627598863
251	0.7626688703
252	0.7625048006
253	0.7623117527
254	0.7621678459
255	0.7620697785
256	0.7619128861
257	0.7618304202
258	0.7617735237
259	0.7616799297
260	0.7615828195
261	0.7614486342
262	0.7612245124
263	0.7610336125
264	0.7608961754
265	0.7607630196
266	0.7606399943
267	0.7605421068
268	0.7604715055
269	0.7603767623
270	0.7603101124
271	0.7601897532
272	0.7601188537
273	0.7600272496
274	0.7599358856
275	0.7597884733
276	0.7597000647
277	0.7595989383
278	0.7594484454
279	0.7593363823
280	0.7592164051
281	0.7591432208
282	0.7590351161
283	0.7589551442
284	0.7587403938
285	0.7586000225
286	0.7584520784
287	0.7582384845
288	0.7580853089
289	0.7579889811
290	0.7579236664
291	0.7578713846
292	0.7577975968
293	0.7576889611
294	0.7576222865
295	0.7575277101
296	0.7574227321
297	0.7573294448
298	0.757249051
299	0.7571578041
300	0.7571087175
301	0.7570388236
302	0.7569761284
303	0.7568802228
304	0.7567749122
305	0.7567289994
306	0.7566625781
307	0.7564536502
308	0.7564028449
309	0.7563378058
310	0.7562137802
311	0.756184322
312	0.7561106835
313	0.7560233531
314	0.7559397457
315	0.7558238721
316	0.755731518
317	0.7556874223
318	0.7556261259
319	0.7553956145
320	0.7552948573
321	0.7551866392
322	0.7550905932
323	0.7550367405
324	0.7549721344
325	0.754844832
326	0.7547990914
327	0.7546310571
328	0.7546003417
329	0.7544045557
330	0.7542916725
331	0.7542209238
332	0.7540694035
333	0.7539218436
334	0.7536424726
335	0.7534995289
336	0.7533222113
337	0.753251378
338	0.7530417771
339	0.7528995915
340	0.7527645694
341	0.7527296198
342	0.752624043
343	0.7524536786
344	0.7522633186
345	0.7520391271
346	0.7518714404
347	0.7517111854
348	0.7516524625
349	0.7514217676
350	0.7513141449
351	0.7511775615
352	0.7510695229
353	0.7509410654
354	0.7507762145
355	0.7506015517
356	0.7505035141
357	0.7503965029
358	0.7501529903
359	0.7500205701
360	0.7499553412
361	0.7498838249
362	0.7498080262
363	0.7497006825
364	0.7495533325
365	0.7493880492
366	0.7492437726
367	0.7491653229
368	0.7490826421
369	0.7490274935
370	0.7489660131
371	0.7487918583
372	0.7486782235
373	0.748567624
374	0.7484553271
375	0.7483748364
376	0.7482128795
377	0.7480940549
378	0.7479763177
379	0.7478202474
380	0.7476036187
381	0.7475094031
382	0.747321877
383	0.7471864729
384	0.7470249204
385	0.7469504782
386	0.7467988635
387	0.7467411491
388	0.7466958086
389	0.7465985636
390	0.7465139291
391	0.7464437349
392	0.7463888974
393	0.7463392791
394	0.7462360135
395	0.7461235288
396	0.7460738827
397	0.7460020089
398	0.7459048535
399	0.7456902978
400	0.7455794954
401	0.745450656
402	0.7453575476
403	0.7452214945
404	0.745108151
405	0.744998764
406	0.7448333816
407	0.7447729923
408	0.7447210852
409	0.7446112263
410	0.7444287545
411	0.7443245667
412	0.7442628021
413	0.7442076076
414	0.7440177937
415	0.7439359866
416	0.7438999884
417	0.7438142133
418	0.7437779827
419	0.7437456889
420	0.7436427814
421	0.7435089229
422	0.7434649989
423	0.743388362
424	0.7433382121
425	0.7432673424
426	0.7431246013
427	0.7430334178
428	0.7428565373
429	0.7427334222
430	0.7426215199
431	0.7425624174
432	0.7424529124
433	0.7423814437
434	0.7422508636
435	0.7422289483
436	0.7421231686
437	0.7420060618
438	0.7419481749
439	0.7419075771
440	0.7418605545
441	0.7417800836
442	0.7416836072
443	0.7415699202
444	0.741441921
445	0.7414033691
446	0.7412825909
447	0.7411548971
448	0.7409908283
449	0.7408412322
450	0.740753637
451	0.7406916319
452	0.7406498524
453	0.7405085897
454	0.7404490816
455	0.7403562896
456	0.7402462994
457	0.7401812488
458	0.7400912539
459	0.7399661014
460	0.7399030005
461	0.739783878
462	0.7397465912
463	0.7395810852
464	0.7395110682
465	0.7393647438
466	0.7392770943
467	0.7391927773
468	0.7391015053
469	0.7389127506
470	0.7388476502
471	0.7388076898
472	0.7387641828
473	0.7386823462
474	0.7385548963
475	0.738506069
476	0.7384751265
477	0.7383844887
478	0.7382786795
479	0.7382728971
480	0.7382283422
481	0.7381633453
482	0.7380799274
483	0.7380131033
484	0.73794418
485	0.7378742408
486	0.7377576773
487	0.7376903569
488	0.7376113309
489	0.7375773766
490	0.7374961033
491	0.7374327413
492	0.7374008967
493	0.737255125
494	0.7371433037
495	0.7370342034
496	0.7369875686
497	0.7368992977
498	0.7368792918
499	0.7367573904
