iter	Passed	Remaining
0	1365	681232
1	2528	629480
2	3683	610299
3	4708	583848
4	5973	591327
5	7135	587491
6	8172	575550
7	9293	571559
8	10428	568927
9	11686	572643
10	12826	570210
11	13992	569024
12	15018	562607
13	16265	564653
14	17446	564107
15	18796	568590
16	19962	567174
17	21278	569803
18	22321	565088
19	23445	562680
20	24631	561826
21	25745	559388
22	27037	560744
23	28135	558016
24	29262	555980
25	30391	554054
26	31591	553435
27	32778	552557
28	34297	557037
29	35713	559515
30	37010	559928
31	38366	561103
32	39787	563051
33	41259	565493
34	42238	561168
35	43377	559087
36	44444	556162
37	45629	554756
38	46590	550719
39	47711	548687
40	49006	548636
41	50177	547173
42	51376	546024
43	52560	544720
44	53783	543806
45	54937	542206
46	56024	539983
47	57291	539492
48	58249	536133
49	59420	534786
50	60591	533440
51	61797	532412
52	62789	529563
53	63863	527468
54	64987	525811
55	66186	524763
56	67350	523440
57	68570	522555
58	69713	521081
59	70803	519228
60	72029	518377
61	73164	516868
62	74375	515909
63	75526	514522
64	76660	513036
65	77743	511224
66	78984	510454
67	79989	508166
68	81025	506113
69	82360	505926
70	83576	504990
71	84809	504146
72	85688	501219
73	86841	499928
74	88088	499167
75	89267	498016
76	90501	497171
77	91547	495293
78	92804	494568
79	93921	493086
80	95045	491654
81	96222	490498
82	97484	489771
83	98944	490009
84	99911	487801
85	101111	486744
86	102303	485646
87	103520	484664
88	104708	483541
89	105861	482260
90	107051	481141
91	108243	480038
92	109318	478416
93	110612	477753
94	111778	476530
95	112871	475001
96	114123	474140
97	115327	473078
98	116619	472366
99	117776	471107
100	118815	469379
101	119831	467576
102	120967	466253
103	122181	465230
104	123188	463423
105	124383	462330
106	125639	461462
107	126749	460052
108	128036	459285
109	129206	458094
110	130279	456563
111	131447	455370
112	132584	454073
113	133816	453099
114	135116	452348
115	136193	450847
116	137232	449232
117	138379	447974
118	139599	446952
119	140761	445745
120	142043	444912
121	143234	443790
122	144645	443343
123	145778	442039
124	147295	441886
125	148513	440825
126	149759	439844
127	150872	438472
128	152185	437681
129	153206	436049
130	154545	435321
131	155819	434405
132	157356	434209
133	158670	433383
134	160094	432847
135	161216	431491
136	162319	430087
137	163688	429386
138	165174	428978
139	166484	428103
140	167806	427251
141	169097	426315
142	170399	425402
143	171596	424223
144	172885	423270
145	174132	422210
146	175279	420909
147	176494	419769
148	177702	418615
149	178913	417464
150	180119	416303
151	181448	415421
152	182524	413960
153	183564	412424
154	184650	410996
155	185700	409492
156	186828	408166
157	188032	407008
158	188996	405331
159	190055	403867
160	191247	402689
161	192476	401587
162	193574	400211
163	194775	399053
164	195989	397918
165	197189	396755
166	198321	395456
167	199362	393977
168	200501	392697
169	201586	391315
170	202709	390007
171	203950	388929
172	205172	387811
173	206192	386315
174	207090	384596
175	208221	383317
176	209234	381823
177	210485	380765
178	211705	379650
179	212851	378402
180	214088	377316
181	215500	376534
182	216853	375641
183	218160	374667
184	219486	373720
185	220717	372609
186	222001	371585
187	223136	370310
188	224002	368596
